date,uWN_ls,cWN_ls,uWN_long,cWN_long,spy
2017-06-14,-0.0067748167,0.0058970847,-0.009837961,0.0029522432,-0.00126851862795267
2017-06-15,-0.001347264,-0.0007958064,0.0016720121,0.0015406518,-0.0019260120299344136
2017-06-16,0.010092231,0.006822654,0.022135032,0.021056626,0.0002183384137866446
2017-06-19,-0.0007881441,-0.0025307368,-0.0016741242,-0.0070666242,0.008290505007076272
2017-06-20,0.0087786615,0.0010507761,0.009941093,0.0010412664,-0.006766784226603301
2017-06-21,0.00372015,0.004196017,-0.0005345013,0.0044263205,-0.0002469808905056386
2017-06-22,0.0042175883,-0.001038635,0.006181458,0.0025150122,-0.00045289669733476046
2017-06-23,-0.0037759924,-0.0034484905,-0.005525158,-0.004918484,0.0011934403714838442
2017-06-26,-0.0060029663,-0.006516695,-0.018777851,-0.02058005,0.0006578729471155414
2017-06-27,0.0046042744,-0.0016197416,0.011416826,0.00572152,-0.008088684762511296
2017-06-28,-0.006624026,-0.001788938,-0.022844652,-0.013628627,0.008910615567592728
2017-06-29,-0.0018549951,0.00043981543,0.0002773207,0.0014207882,-0.008827753352824092
2017-06-30,-0.0070659528,-0.0034094907,-0.010044165,-0.0054250006,0.0018625144770061505
2017-07-03,0.009777728,0.007447392,0.018013986,0.01511848,0.0016944424408909366
2017-07-05,0.0030273385,-0.00060211984,-0.0040249024,-0.0054996028,0.002309572917416071
2017-07-06,0.0012897565,0.0050752265,0.013333639,0.016076604,-0.009186749721006318
2017-08-03,0.011738275,-0.009888545,0.022885349,0.000863363,-0.0019418342899818943
2017-08-04,0.0038650616,0.00096026453,0.009552877,0.0033159268,0.0018208100853472295
2017-08-07,-0.0030597895,-0.0007238239,-0.0051316414,-0.01076441,0.0018574172977185294
2017-08-08,-0.009597347,0.0009491551,-0.019482642,-0.0029878272,-0.002464174552904722
2017-08-09,-0.007190575,0.010963948,-0.022289727,-0.0033853482,-4.02983194699307e-05
2017-08-10,0.0014985155,0.0012943752,0.0020383545,0.0011353061,-0.014215960140126936
2017-08-11,0.0013492908,-0.0040026503,0.011192542,0.0076348954,0.00147583839860527
2017-08-14,0.0020930415,-0.0002530117,0.005387064,0.0046459474,0.009864270084255182
2017-08-15,-0.0017091747,0.0029698582,-0.002052323,0.0025747863,-0.0001216791511237307
2017-08-16,-0.0076705636,0.0027297102,-0.025195759,-0.015051726,0.001742725553826269
2017-08-17,0.0056934874,-0.0030562107,0.011097841,-0.0013331146,-0.01571326445040788
2017-08-18,-0.0073270826,0.0005309463,-0.010650635,-0.002022699,-0.0015647756936326487
2017-08-21,0.0043095304,-0.0026416606,0.013750907,0.009729039,0.0007822974013862965
2017-08-22,0.00015432163,0.0010870524,-4.1508218e-05,-0.00073101465,0.010402989528895587
2017-08-23,0.0024375888,0.0015915928,0.0031500268,-0.00043366788,-0.003592047845098614
2017-08-24,-0.006574475,0.0021184385,-0.009724062,0.0020540073,-0.0023334151834138585
2017-08-25,-0.0017340651,-0.0016313369,-0.0016645786,-0.005491969,0.0023334151834139166
2017-08-28,-0.0010363801,-0.0005101609,-0.0027161455,-0.0035662118,4.109958135570047e-05
2017-08-29,0.007034626,-0.0054179607,0.014445285,0.0039230124,0.0011443100097950241
2017-08-30,0.0030779822,-0.0017234044,0.007697218,0.003116118,0.004726354913604407
2017-08-31,0.0012898016,0.0013961652,0.0035139034,0.002544556,0.005998020587716594
2017-09-01,8.2963496e-05,-0.0011828423,-0.002168128,-0.009617407,0.0014132678970098993
2017-09-05,0.0028169658,-0.0014597594,0.002843816,-0.0020430512,-0.0072080148533068735
2017-09-06,-0.0041824304,-0.0048847278,-0.008416593,-0.008537686,0.003407783574411122
2017-09-07,-0.003210878,0.0143448915,0.0022634773,0.017359534,-0.00012150173176197527
2017-09-08,0.0048475764,0.0032499721,0.02207558,0.018523708,-0.0011752784654147734
2017-09-11,0.00490325,-0.0010330968,0.0065376386,0.0044272896,0.010609341336723645
2017-09-12,0.0020481078,-0.000813622,0.00035478873,-0.0030520728,0.0033652025027508486
2017-09-13,-0.0025339816,0.00053987605,0.00012243485,0.00082142703,0.0004797400925772082
2017-09-14,0.0014294242,-0.00080716354,0.006483459,0.0033155452,-0.00032001121537494594
2017-09-15,0.0030522621,-0.00042374816,0.0062942347,0.0011353977,0.0013453733442039106
2017-09-18,-0.0016060297,-0.0023586387,-0.003405239,-0.005902651,0.0021246828295498235
2017-09-19,0.0056561725,-0.0027949025,0.014175183,-0.005233058,0.0010003902941971559
2017-09-20,-0.002136647,-0.002050084,-0.006269125,-0.00745131,0.0003601855356845253
2017-09-21,0.001579496,-0.003992864,0.0011574025,-0.0010990509,-0.0026831087765630543
2017-09-22,-0.011795595,-0.0033224332,-0.021516815,-0.009419426,0.00020057668483805218
2017-09-25,-0.00038578056,0.00025695493,-0.0015236975,-0.0017250809,-0.002046568290723816
2017-09-26,0.01679166,-0.004864143,0.019163562,-0.0014633919,0.0006023708737654771
2017-09-27,0.0016518596,0.0026566824,0.0013463855,0.006864,0.0038868004708704296
2017-09-28,0.002442347,-0.0006323908,0.00849472,0.00089574687,0.0011989878013616078
2017-09-29,-0.00041100313,0.0009549747,0.0038915984,0.0076398305,0.0035088806032071863
2017-10-02,-8.689938e-06,-0.0003426592,0.0045985677,0.0014365672,0.004329598163031497
2017-10-03,0.0005210057,0.0051407544,0.0036711656,0.009113636,0.0021376334653322292
2017-10-04,-0.0007211927,0.00014952756,0.0030255718,0.0023913682,0.0011854649885374663
2017-11-01,-0.0045004673,0.0036832942,-0.010335826,0.0010664143,0.0013212221101787968
2017-11-02,0.007516247,-0.0060445005,0.019269781,0.0045176954,0.00038822694510591045
2017-11-03,0.0075984723,0.011143732,0.016568078,0.022755105,0.0033331648853047935
2017-11-06,0.0052698194,-0.0032600493,0.008843826,-0.00077045884,0.0015465804323844916
2017-11-07,-0.007399387,-0.0012077481,-0.0037389009,0.0015479426,-0.000695419334655665
2017-11-08,0.0052395426,-0.0013559998,-0.0015393618,-0.008399518,0.0016992103630424677
2017-11-09,0.0041597127,-0.0034199448,0.0019194181,-0.0063425684,-0.0036341394877916883
2017-11-10,-0.0014806315,0.0017518986,-9.36828e-05,0.003830791,-0.00031018214826085356
2017-11-13,0.0050833286,-0.0008066887,0.010029706,-0.0009153677,0.000929650887109949
2017-11-14,1.8999912e-05,0.0040160636,-0.004192823,-0.0015088245,-0.0023252764359731823
2017-11-15,0.00020350888,-0.0042101303,0.005304275,0.006286911,-0.005018004240999697
2017-11-16,0.0035511341,0.0037936885,0.0036910516,0.0049372604,0.008465254837990089
2017-11-17,-3.391388e-05,-0.003490857,0.0048121405,5.1415424e-05,-0.0029432170506844954
2017-11-20,1.9562605e-05,-0.0019993759,0.001586692,0.0024364877,0.0017048814019504574
2017-11-21,0.00037520868,0.00147621,-0.0035262117,-0.002432381,0.006521619725546834
2017-11-22,-0.0024530466,-0.0012373895,0.00074780255,0.0029367532,-0.0008852074589741426
2017-11-24,-0.0018208019,-0.0043882714,-0.0031025773,-0.0036166245,0.0023072600517498464
2017-11-27,0.004418033,-0.0021544509,0.006474547,0.004230394,-0.0004994603675998814
2017-11-28,-0.004610425,0.019766299,-0.013571217,0.009735977,0.010093725362875693
2017-11-29,0.00035211653,-0.0035403406,0.0061191493,0.0035713133,-0.0006088994792874182
2017-11-30,-0.003003933,0.00400607,-0.0072297584,0.0025743954,0.008716788822146269
2017-12-01,-0.024489516,0.013300433,-0.04445272,-0.0023752137,-0.00207754616328677
2017-12-04,0.00039804733,-0.00315206,-0.0018317689,-0.007834258,-0.0012107096926443186
2017-12-05,0.0047113914,-0.00626444,0.0029489307,-0.0057953754,-0.0036029456765770676
2017-12-06,0.0034242924,0.0011780801,0.011810945,0.0059050927,0.00018986211817235068
2017-12-07,-0.005119186,-0.0034486814,-0.0044956207,-0.00077499385,0.0031483834824303403
2017-12-08,0.0020732745,0.0028992707,0.00715564,0.0068492447,0.005438057182291625
2017-12-11,-0.0034023752,-0.0023006643,-0.007133419,-0.0076315883,0.003008384278189398
2017-12-12,0.0037813508,0.003292744,0.008402486,0.0042953915,0.0017633100267546253
2017-12-13,0.0010744581,0.002220416,-0.0023209841,-0.002720515,-0.0001125450242521172
2017-12-14,-0.0010309229,0.001769138,0.012701816,0.014364768,-0.004094448903787172
2017-12-15,-0.0015221862,-0.0032857768,0.014385257,0.010108985,0.008292875221899787
2017-12-18,0.003813419,-0.00019504456,0.0023966548,-0.0028462226,0.006321560379631118
2017-12-19,0.002199671,0.0037430045,0.0013217519,0.003400773,-0.0038480031135140597
2017-12-20,-0.0033926568,0.0068796165,-0.011129041,0.0025249398,-0.0005241770278004239
2017-12-21,-0.0010109693,-0.0013818423,-0.00039457547,-0.002974422,0.0020574197942823873
2017-12-22,-0.0013579725,-0.00067520305,-0.0027927915,-0.003789038,-0.00026113418304754733
2017-12-26,0.0011430836,-0.0006406162,0.0053120167,0.0012570996,-0.0011971002698696542
2017-12-27,-0.0003800795,0.0014155507,0.003992967,0.004512213,0.0004864441654106401
2017-12-28,-0.0007259366,0.0023333742,-0.0049690437,-0.0036590227,0.002054930827217218
2017-12-29,-0.0029212064,0.0043518986,-0.0019958762,0.010643955,-0.0037771986042063397
2018-01-02,-0.0034071598,0.005198959,0.0040894058,0.019506983,0.007131451953679963
2018-01-03,-0.0014256777,0.0044637285,0.00038013162,0.010632813,0.006305170857338277
2018-01-04,-0.0031762444,-0.0068842764,0.0017195179,-0.005223833,0.00420621299328147
2018-02-02,-0.00019720383,-0.004896799,-0.033333145,-0.037981313,-0.022010596856534885
2018-02-05,0.0065523945,0.003643554,0.018810699,0.014917297,-0.04272240717014969
2018-02-06,-0.006421394,-0.0060702004,-0.007537962,-0.005182469,0.01951054094524144
2018-02-07,-0.007616395,0.0054353923,-0.040572077,-0.024374884,-0.005439299673048188
2018-02-08,0.001994439,-0.0073469523,0.016388185,0.012605835,-0.0382304426243214
2018-02-09,0.009709612,0.0044709435,0.02758797,0.020112064,0.01490960584165442
2018-02-12,0.00430261,-0.0012443694,0.0044772965,0.0008644865,0.014578003561049288
2018-02-13,-0.00054430496,0.0030384008,0.012989164,0.024227748,0.002484319796068703
2018-02-14,0.006828879,0.0053238063,0.018546259,0.02201101,0.013405696084322885
2018-02-15,-0.016611822,0.001859041,-0.028921595,0.003487544,0.012679460319709731
2018-02-16,0.0012127791,0.008101936,0.0007866003,0.0080800615,0.00029299034309648257
2018-02-20,0.00011456804,-0.0070838146,-0.00632383,-0.014654772,-0.006280951149497064
2018-02-21,0.0015882767,-0.0024739718,0.004805865,-0.002885877,-0.004986785205465308
2018-02-22,0.00031014904,-0.0056358804,0.017444612,0.01279668,0.0012954808602952273
2018-02-23,-0.005431472,0.00398361,-0.0020764025,0.0112967305,0.015813791578055184
2018-02-26,-0.0008067298,0.004421137,-0.0110232495,-0.0017691404,0.011545194103461482
2018-02-27,-0.0038859984,0.009684045,-0.017068865,0.010308794,-0.012565342290515256
2018-02-28,0.0046186005,-0.012598869,-0.01096616,-0.019564444,-0.010181654011609887
2018-03-01,-0.0017128128,0.002693323,0.0029408778,0.008601544,-0.014647520325668323
2018-03-02,0.0028246543,0.0067220433,0.013959888,0.017007772,0.0051418531528483035
2018-03-05,0.0063774,0.0024472687,0.0054501584,0.010101054,0.011491700692927747
2018-03-06,-0.00557267,0.0019484783,-0.006963918,0.004640026,0.002531788879556367
2018-03-07,-0.0023418646,-0.004655896,-0.0003200175,-0.0018561514,-0.0003667666271795066
2018-03-08,0.0025092894,-0.00061273435,0.015121034,0.011192015,0.004827713421142169
2018-03-09,-0.0051722866,0.0033249124,-0.009286794,0.0010726084,0.017252547176891772
2018-03-12,0.0004340983,0.0006742636,-0.005835955,-0.0044660997,-0.0012556734306665108
2018-03-13,0.0008219532,0.0011168768,-0.004900362,-0.0022631634,-0.006483668007118885
2018-03-14,-0.00018536631,-0.004546831,0.0007540006,-0.00930186,-0.00514498988252829
2018-03-15,-0.0048635527,-0.0037564577,-0.0023572566,-0.0019636014,-0.0010901403121386945
2018-03-16,-0.003427214,-0.0009248154,-0.015598204,-0.014946469,0.0010833392831681478
2018-03-19,0.0026383286,-0.0015259436,0.0046736146,0.004783825,-0.01362217346949797
2018-03-20,0.008441401,0.0053043948,0.0122704245,0.004517549,0.0016989661010373674
2018-03-21,-0.016878169,-0.003180312,-0.037228193,-0.03342764,-0.001920822195997523
2018-03-22,-0.0050709145,0.002964615,-0.027902761,-0.019254,-0.02531478081730229
2018-03-23,0.0033047362,-0.008632383,0.021912586,0.017510178,-0.021545199551572938
2018-03-26,-0.013047005,0.012902239,-0.029378649,-0.0076485383,0.02699141497631496
2018-03-27,-0.014252225,-0.009538691,-0.016803097,-0.016729824,-0.01715789065744173
2018-03-28,0.007493512,-0.0029426976,0.018970056,0.0112511115,-0.0029594616656541802
2018-03-29,-0.0066198567,-0.005412921,-0.02656289,-0.02395434,0.012696638099193448
2018-04-02,-0.0015126185,0.0015815301,0.006692949,0.01197191,-0.021820798308398396
2018-04-03,0.002589439,0.009208545,0.015101531,0.018656418,0.012735530774836745
2018-04-04,0.0048131547,0.0066261278,0.015429433,0.018100245,0.010642195974974825
2018-04-05,-0.009678954,-0.0069670347,-0.02972629,-0.02814336,0.007860817706836547
2018-04-06,0.0051707234,-0.0032295748,0.0034982695,-0.002783124,-0.022537728403346093
2018-05-04,0.0066218292,-0.0012899912,0.009057934,0.003917871,0.012863236192135464
2018-05-07,0.0072321747,0.0015466737,0.0019703934,0.00648201,0.003377869324185457
2018-05-08,0.002003405,0.012068033,0.009937044,0.032531165,0.0
2018-05-09,0.005084958,0.0008245737,0.015500607,0.009378034,0.009619144176911343
2018-05-10,0.0027878056,3.9186154e-05,0.006371025,0.0019881157,0.00930706448923097
2018-05-11,0.004517195,0.0010463174,0.007251648,0.0033918987,0.0030470277999025998
2018-05-14,-0.0010295683,-0.0034331994,-0.004595956,-0.011504388,0.0004760373737470455
2018-05-15,-0.0037312098,-0.002658346,-3.0532687e-05,-0.00013116232,-0.0069104895929461545
2018-05-16,-0.0027973247,0.0042473534,0.0027710705,0.0043385215,0.004195989606665379
2018-05-17,-0.0063553303,0.00035046518,-0.00967195,0.0011696923,-0.0008450653429745251
2018-05-18,0.005396703,0.005976191,0.015040894,0.018278832,-0.0025031509007245275
2018-05-21,0.0015137133,0.0030151536,-0.0037336121,5.844036e-05,0.007490607140534536
2018-05-22,0.00040840148,0.0056500216,0.0032083318,0.0063504768,-0.0027840931602475844
2018-05-23,0.00547867,-0.0080340905,0.007958782,-0.008337563,0.002747457441074178
2018-05-24,-0.000761064,-0.004892787,-0.00046798986,-0.0047170315,-0.002050707141253358
2018-05-25,-0.0008598063,-0.0027090926,-0.0112526,-0.012877749,-0.0023852986740136497
2018-05-29,0.0014594374,0.0031170358,0.013887787,0.012804385,-0.011568138754337301
2018-05-30,-0.0041762516,-0.0033541229,-0.0137365945,-0.009200412,0.013256687128529955
2018-05-31,-0.004610374,0.007889027,0.0037516367,0.017800411,-0.006145084815631603
2018-06-01,-0.0013553267,7.166737e-05,0.009912177,0.0049965773,0.009770167074025832
2018-06-04,0.0045667305,-0.0028483279,0.008489623,0.0003803436,0.004740231599963965
2018-06-05,-0.0040244255,-4.8135407e-06,0.0036624244,0.0040401723,0.0007269140371777064
2018-06-06,0.0018157286,0.010195771,-0.0023658099,0.0013907828,0.008325704461042917
2018-06-07,0.00080098235,0.0011124085,0.009340754,0.009714016,-0.00010769185672598242
2018-06-08,0.00012264948,-0.0035258804,0.0016530468,0.0020322069,0.0029519704203589034
2018-06-11,-0.002902234,0.0023925551,0.00032394577,0.005740123,0.0013290791777789328
2018-06-12,-0.0015864056,-0.00083017873,-0.0034906752,0.000739781,0.0012915334445950319
2018-06-13,-0.002122296,0.0009732109,0.00045825687,0.003379506,-0.0031956654776420478
2018-06-14,-0.0015132765,0.005500978,-0.003646998,0.0049282694,0.0025141463752780093
2018-06-15,-0.00264729,-0.0022819038,-0.0019773857,0.0056044487,-0.0012765971578290246
2018-06-18,0.003879896,-0.007587135,-0.0037245105,-0.011139875,-0.002058544065214105
2018-06-19,0.00598575,-0.0030295402,0.013026704,0.0015770098,-0.0038404131679855968
2018-06-20,0.0022637937,-0.0032878215,-0.0027297826,-0.014717213,0.0017044980302216145
2018-06-21,-0.004820808,-0.0056957975,-0.0038266873,-0.006060073,-0.006288505984439376
2018-06-22,-0.007423007,-0.011974256,-0.020266566,-0.020151213,0.001821509756123445
2018-06-25,0.003773506,-0.0010940053,0.0048205634,0.002369348,-0.013706353836601739
2018-06-26,-0.003782161,-0.006839085,-0.013832225,-0.0118197575,0.002211627212853366
2018-06-27,-0.0026179263,-0.0010730303,0.005232528,0.0018656472,-0.008318577326880577
2018-06-28,0.0024422512,-0.0003666337,0.0033837783,-0.0017764904,0.005701096799018312
2018-06-29,0.004958214,-0.00062688556,0.006125493,0.004332757,0.0014385547386138598
2018-07-02,-0.0036664037,0.0021857251,-0.0021772,-0.001657323,0.0021359387270534834
2018-07-03,0.0031284643,0.0046430524,0.009391148,0.016625844,-0.003537625514259411
2018-07-05,0.0045832507,-0.0008534137,0.013451702,0.01068329,0.008124913522927124
2018-07-06,0.004779518,0.005992425,0.011163412,0.013172622,0.008422868184266392
2018-08-03,-0.0017741671,-0.006978852,0.000737713,-0.0008519647,0.004275574486319181
2018-08-06,0.0018337289,0.00043046963,0.00420752,0.0051025716,0.003660758083962275
2018-08-07,-0.0035241859,-0.008463623,-0.011431384,-0.016763143,0.003296602162136595
2018-08-08,0.0011083896,0.001454771,0.0012770823,-0.0053257486,-0.00041999476707633206
2018-08-09,0.0016341663,0.005434322,-0.0032129632,-0.0007935953,-0.0013668055123873708
2018-08-10,-0.0010645506,-0.0037070487,-0.0035649869,-0.009616738,-0.006723222120627269
2018-08-13,0.0010903399,-0.00011955155,0.006111692,0.004374681,-0.003750428206450399
2018-08-14,-0.0061537726,-0.006838455,-0.017337771,-0.018584728,0.006360596339614453
2018-08-15,0.00048148585,-0.0016433191,0.009388987,0.004866422,-0.007495372726272069
2018-08-16,0.0013556588,-0.001436837,0.0068798116,0.0059049763,0.008058987563638374
2018-08-17,0.00226927,0.0029178062,0.0029145991,0.0058418163,0.0035138611161885896
2018-08-20,0.0011809613,0.003798613,0.004083306,0.0068491995,0.0021374391917879662
2018-08-21,0.006598493,-0.00082115084,0.00655903,-0.00027845294,0.0023428986574106614
2018-08-22,-0.0031295097,0.0028669254,-0.0084469365,0.0037297967,-0.000593845124284245
2018-08-23,-0.0007834011,0.017358214,0.0115317,0.038180783,-0.0013288861169438106
2018-08-24,0.0031758468,0.0046792002,0.01637899,0.017438019,0.006000389507268278
2018-08-27,0.0004888459,0.0011518082,-0.0005567549,0.0021209184,0.007864662017798391
2018-08-28,-0.00017967704,0.0036221363,0.000952929,0.0053360364,0.00048263439365825396
2018-08-29,-0.0008377478,0.002443939,-0.0053245355,-0.00117438,0.005366556488879634
2018-08-30,0.0006144659,-0.0005599704,0.0014608873,0.00027145736,-0.004056706719808835
2018-08-31,-0.007322626,-0.0044494485,-0.0016040707,-0.0019355073,3.446215442938217e-05
2018-09-04,-0.0045924303,0.003023651,-0.0063261185,0.0019553732,-0.0017237338344780354
2018-09-05,-0.0027297842,0.0006276866,-0.010454,0.00059360266,-0.002695319203457202
2018-09-06,-0.00017640181,-0.0046459073,-0.0055746473,-0.0047584954,-0.003014366929944238
2018-09-07,-0.002487267,-0.004973401,0.006900668,0.0061688116,-0.0019449433053140906
2018-09-10,-0.005575731,-0.0010641378,-0.007580057,-0.002624357,0.0017367885108975924
2018-09-11,-0.002807641,-0.0021090275,-0.0020439117,-0.007359893,0.003291866639155258
2018-09-12,0.003527638,0.0034796358,0.008684388,0.01048107,0.00024260988414146013
2018-09-13,-0.00040225266,0.005600155,0.0052477852,0.011431097,0.0058966681828648915
2018-09-14,-0.004045047,0.0045045447,-0.014502065,-0.0044889287,0.00017210312423830514
2018-09-17,0.0043409453,0.0019336105,0.012445886,0.009919553,-0.005308142843242144
2018-09-18,-0.0028202126,0.0017030162,-0.004829378,-0.0005600137,0.005411555954663233
2018-09-19,0.0014149107,-0.00065257645,0.0076355785,0.0026713375,0.001064592184779577
2018-09-20,-0.0015128606,-0.0033171254,-0.001533625,-0.004769996,0.008071546366252156
2018-09-21,0.0050364193,0.003828577,0.0020180747,0.003958962,-0.0009141920239468583
2018-09-24,-0.003228102,0.0022235538,-0.004587302,0.0013531136,-0.003327687726997302
2018-09-25,0.00044615683,-0.00018218416,-0.004408899,-0.004745597,-0.0009276146005548322
2018-09-26,-0.0019541902,-0.0005000476,0.00040028399,0.0023373263,-0.002997562711049619
2018-09-27,-0.0033911332,-0.0035146663,-0.007526135,-0.005062574,0.0027902495959866856
2018-09-28,-0.0032841284,0.00048341468,-0.0015302394,6.157336e-05,0.00010383851683651883
2018-10-01,-0.0069740503,-0.004679473,-0.014453696,-0.008983353,0.003467681366388625
