feature,train_mean,train_std,train_min,train_p01,train_p50,train_p99,train_max,val_mean,val_std,val_min,val_p01,val_p50,val_p99,val_max
vol_regime,0.9267254355809821,0.3596291593455241,0.0,0.2234080148785003,0.9029787486812841,1.8063569237354373,2.1727905880475764,0.9274023286582612,0.3841002649527623,0.0,0.20417383472699796,0.9026211291345589,1.8294899904160338,2.101512593807906
atr_pct,0.022185870165401845,0.009705005226961704,0.0003438235901960978,0.009666470661918196,0.019801434654487183,0.05594005907530443,0.1630479782101796,0.019416198518897636,0.007301306386152714,0.0005467496110375676,0.010199261701394466,0.017564748936911054,0.046747023800903446,0.111937740354135
rsi_14,54.84930043611911,16.482972611042545,0.0,16.58771227658339,55.32628707329532,89.7744577284219,99.99999981416484,55.808665043361835,16.689976456098357,0.0,16.570337563324955,56.73421721224346,89.89269058878403,99.99999959737848
macd_line,0.005629806723312963,0.017684301429550915,-0.2557286533852536,-0.047212532525950944,0.006968594281004961,0.0466652638761278,0.13374745268459368,0.00683188035853428,0.015102234221259489,-0.19266551239182,-0.03299125059885856,0.007616677416402326,0.04379821546697753,0.0877972000329966
macd_signal,0.005545154722239401,0.016678296685128456,-0.23486035878606468,-0.04501403376356281,0.0069155437767435685,0.043770921001118034,0.1299970264411921,0.006815996997959751,0.01399159801804277,-0.17360628761916838,-0.02938810143541759,0.007527853292036111,0.04140378073570396,0.07968132758050613
macd_hist,8.465200107356204e-05,0.005525211549461598,-0.05887811016187313,-0.014986197354816861,0.0001254950757931128,0.014819513099376113,0.04841667552162691,1.5883360574530107e-05,0.004910537704325856,-0.06574040216864147,-0.01343367194331928,0.0001586255000890659,0.012480270087008324,0.027771454422177124
bb_pct,0.5847163516652393,0.31496599496322897,-0.5621322887274252,-0.12155044500493085,0.6380304410551937,1.1607482214512295,1.5621322844061505,0.598928663571268,0.3152132462654632,-0.5178957207084338,-0.14035885788048694,0.6607594359622896,1.1650743761727564,1.5621322871306877
bb_width,0.10566747542309977,0.0680858661887104,0.0,0.027048597027884837,0.0886513107698687,0.3584351920708981,1.068724517710721,0.09474339927431208,0.0590833529117804,0.0,0.027368903639500154,0.0802428845342774,0.32352513958104984,0.8994880973370883
stoch_k,0.5834765707535052,0.2994929188607068,-3.723079481613458e-15,0.010544747522428916,0.637680267916018,0.9972977515927213,0.9999999999909428,0.5938531054996176,0.2982780514276548,-2.8690198462583415e-15,0.010694686383211601,0.6560322890367729,0.9958336561701518,0.9999999999895156
vol_norm,0.9997872399849191,0.5263677103120524,0.0,0.3401302986716303,0.9013867601186649,2.88172149305103,19.999999999946667,1.0164159495944398,0.5417208361372425,0.0,0.3024454819575013,0.9164863041160122,2.8946008659844362,19.999999998
vol_momentum,0.9947608953647985,0.26970449946958946,0.0,0.5137133596172725,0.9592556041167295,1.8739925299783577,3.999999999998186,1.0076115071195746,0.28536225453479175,0.0,0.4803292234673482,0.9749289908261953,1.8846241006880708,3.9999999999111115
obv_norm,0.24094875778235111,1.2810359279442836,-4.24852915724886,-2.551320873569454,0.3886734904473537,2.610618124088404,4.248529157247069,0.28370861040009315,1.2859603913062143,-4.230945920158884,-2.6102332366801333,0.4690344539580044,2.6158109203938205,4.248529157175242
vpt,0.3039888681208117,1.3097926942756508,-4.248529157245718,-2.858982583525741,0.5277736928444526,2.980648921992273,4.248529157219372,0.32566650920103807,1.3294480368016939,-4.247545169430595,-2.975250241123158,0.5762526831833846,3.0404019079259985,4.248529153693942
amihud,0.00614642604890922,0.42495223887460953,0.0,0.0,0.0001124631721047921,0.009254588534798016,78.81204429989936,398177767.5827571,85332665969.34209,0.0,0.0,7.979402548606167e-05,0.003984220247798316,18695650083820.016
hl_spread,0.020395487184679855,0.01255780055854288,0.0,0.005944177218689559,0.01727115235272441,0.06576405174140444,0.37231339125370244,0.01848472817364431,0.011105136596685477,0.0,0.005712675593374407,0.015683151762824615,0.05974314371192384,0.2642098960215924
gap,0.0005211303704927158,0.010069498496037197,-0.36974068069629384,-0.023967334588683165,0.0002904961718159793,0.0280975650990547,0.542462733076287,0.0007325147822480491,0.008564181078047814,-0.31035443634665993,-0.019009999847245163,0.0005902079814934513,0.022462378649594328,0.254736717236802
intraday_ret,0.00059259859504256,0.014103773431699785,-0.2553777318441286,-0.036630075458973343,0.0005240876496250824,0.03907387306723775,0.44988943837927375,0.0003720356068807259,0.01283020329297102,-0.20387868013078647,-0.034809992457363714,0.00030199684284148987,0.03454717000606289,0.2154116178499903
hl_range,0.9177033059455884,0.33661749383037803,0.0,0.3861357930213067,0.8603170711944826,2.0229952823606605,5.108111655117653,0.9410660064844873,0.35999826945877883,0.0,0.3756562191623187,0.8756399655352867,2.1258553527179487,4.690389968291743
dist_52w_high,-0.09240744232277649,0.10786698752957764,-0.9115436594496237,-0.4830961010445254,-0.055006857140034504,-1.508182467802044e-11,-9.25814980234918e-13,-0.05792600934710521,0.0676672627682962,-0.5258619974098699,-0.3110316992142415,-0.03661418580251308,-1.0656475701864565e-11,-8.19011525265978e-13
dist_52w_low,0.3824918764265403,0.29968704361561793,-3.833984796308698e-09,0.01855860399593201,0.32120304249824194,1.4451160151593405,6.075374550128712,0.4411735298170025,0.3968702007568543,-1.497439949815771e-10,0.014198834531616411,0.36450548579624287,1.9657105347050758,6.301587534338461
spy_ret_1d,0.0008389653792970661,0.008988678133449285,-0.036909367149178696,-0.024106028446312378,0.0007777936883031078,0.02563028040102333,0.04115024651048449,0.0008624186545182247,0.006786995000014517,-0.02250503266514381,-0.021335634018417426,0.0004944608513459681,0.01707275506052852,0.021557838819073805
spy_ret_5d,0.0042349706399268825,0.01889058420333116,-0.06060621467234517,-0.043285681195497694,0.0059062343956644,0.054381281334625386,0.08778358394041597,0.00450092604527266,0.014533349380504119,-0.03771031505327227,-0.030658008176205342,0.0048192982848931365,0.03906983332804881,0.0393902155359207
spy_ret_20d,0.016934745444011533,0.03296440950781948,-0.09554566036070222,-0.06723674864359153,0.021947228851238787,0.09285870334613389,0.14163545846776482,0.018898107395768412,0.02543299461719894,-0.047678362588716716,-0.04529072663357281,0.0210934324659231,0.07427105966742675,0.0769932998424323
spy_vol_20d,0.13749213632712784,0.058129184527675445,0.05495208675422775,0.061228577577283776,0.1211664059009707,0.30659772054410955,0.32570244245033747,0.10914865863712843,0.024878337834840784,0.07137085791616127,0.07327509892079762,0.09878328099427433,0.16510022838518942,0.16534080687931743
vix_close_norm,0.9852323229928271,0.11025748289762219,0.7439533122017765,0.7854054070753556,0.9709360008091965,1.2901796590584245,1.3773345254571772,0.9964106456068719,0.1260949401487684,0.8084816123490142,0.8188407948292785,0.9695577151013133,1.3697802168536204,1.465932819111435
vix_change_1d,0.0006068635461479577,0.06894344144632365,-0.2068661530649003,-0.14735436824986392,-0.0036127305045956515,0.2213615265320119,0.43200662163099346,0.0017708623821415862,0.06674363044987007,-0.2116827353464823,-0.14867359838695482,-0.0007633762282924783,0.16458450362624166,0.3173564841401959
vix_regime,0.20480195691033964,0.403556830391997,0.0,0.0,0.0,1.0,1.0,0.010753774076002082,0.10314131286310245,0.0,0.0,0.0,1.0,1.0
vix_mom_5d,-0.001601898015988782,0.12004830761081843,-0.39304575798347574,-0.26797009838804353,-0.00513947837095341,0.30932532275803193,0.5240770235135825,0.005734663953862838,0.1310761167217648,-0.28824627571061856,-0.28563772600701565,-0.010439924775648257,0.4003215967759062,0.44772544104013057
